data,atividade,pastoral,hora,local
2020-07-19,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-07-19,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-07-19,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-07-19,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-07-21,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-07-18,Terço de sábado,,18:00,Facebook
2020-07-26,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-07-26,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-07-26,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-07-26,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-07-28,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-07-25,Terço de sábado,,18:00,Facebook
2020-08-02,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-08-02,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-08-02,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-08-02,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-08-04,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-08-01,Terço de sábado,,18:00,Facebook
2020-08-09,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-08-09,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-08-09,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-08-09,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-08-11,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-08-08,Terço de sábado,,18:00,Facebook
2020-08-16,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-08-16,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-08-16,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-08-16,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-08-18,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-08-15,Terço de sábado,,18:00,Facebook
2020-08-23,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-08-23,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-08-23,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-08-23,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-08-25,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-08-22,Terço de sábado,,18:00,Facebook
2020-08-30,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-08-30,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-08-30,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-08-30,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-09-01,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-08-29,Terço de sábado,,18:00,Facebook
2020-09-06,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-09-06,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-09-06,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-09-06,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-09-08,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-09-05,Terço de sábado,,18:00,Facebook
2020-09-13,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-09-13,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-09-13,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-09-13,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-09-15,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-09-12,Terço de sábado,,18:00,Facebook
2020-09-20,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-09-20,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-09-20,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-09-20,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-09-22,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-09-19,Terço de sábado,,18:00,Facebook
2020-09-27,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-09-27,Missa especial com restrições para a COVID 20,,10:00,Paróquia
2020-09-27,Missa especial com restrições para a COVID 21,,16:30,Paróquia
2020-09-27,Missa especial com restrições para a COVID 22,,19:30,Paróquia
2020-09-29,Terço dos Homens,Terço dos Homens,20:30,Remoto pelo Zoom
2020-09-26,Terço de sábado,,18:00,Facebook
2020-10-04,Missa especial com restrições para a COVID 19,,7:30,Paróquia
2020-10-04,Missa especial com restrições para a COVID 20,,10:00,Paróquia
